S/NO,Location,ASM/Village,Eastings,Northings,Latitude,Longitude,Commodity,No.of women,No.of men,Total,Production,
1,Mubende,Kabadda,360528,73243,0.662492,31.746618,Gold,14,32,46,,
2,Mubende,Lukwago,360786,30668,0.277396,31.749004,Gold,7,20,27,,
3,Mubende,Lukwago,366149,25340,0.229208,31.797194,Gold,20,45,65,,
4,Mubende,Lukwago,360787,41323,0.373772,31.749002,Gold,22,40,62,,
5,Mubende,Lukwago,360788,46651,0.421965,31.749003,Gold,10,13,23,,
6,Mubende,Lukwago,366148,93570,0.846369,31.797064,Gold,27,38,65,,
7,Mubende,Kayonza,358639,84288,0.762391,31.729617,Gold,10,11,21,,
8,Mubende,Kayonza,358671,84244,0.761993,31.729905,Gold,15,45,60,,
9,Mubende,Kayonza,358680,84307,0.762563,31.729986,Gold,17,28,45,,
10,Mubende,Kayonza,358675,84481,0.764137,31.72994,Gold,10,24,34,,
11,Mubende,Kamusenene,363999,77358,0.699721,31.777796,Gold,3,46,49,,
12,Mubende,Kamusenene,363953,77407,0.700165,31.777383,Gold,14,53,67,,
13,Mubende,Kamusenene,363925,77542,0.701386,31.777131,Gold,8,19,27,,
14,Mubende,Kamusenene,363964,77229,0.698555,31.777482,Gold,4,38,32,,
15,Mubende,Kamusenene,363904,77217,0.698446,31.776943,Gold,7,27,34,,
16,Mubende,Kamusenene,363837,77154,0.697876,31.776341,Gold,2,19,21,,
17,Mubende,Kamusenene,363858,77156,0.697894,31.77653,Gold,5,36,41,,
18,Mubende,Kamusenene,363912,77124,0.697605,31.777015,Gold,5,18,23,,
19,Mubende,Kamusenene,363929,77019,0.696655,31.777168,Gold,6,20,26,,
20,Mubende,Kamusenene,363929,77019,0.696655,31.777168,Gold,4,23,27,,
21,Mubende,Kamusenene,363885,77004,0.696519,31.776773,Gold,10,29,39,,
22,Mubende,Kamusenene,363873,76884,0.695434,31.776665,Gold,5,36,41,,
23,Mubende,Kamusenene,363895,76802,0.694692,31.776863,Gold,6,38,44,,
24,Mubende,Kamusenene,369473,67400,0.60966,31.827003,Gold,12,34,46,,
25,Mubende,Kamusenene,363888,77472,0.700752,31.776798,Gold,12,21,33,,
26,Mubende,Kamusenene,364012,77271,0.698935,31.777913,Gold,0,34,34,,
27,Mubende,Kamusenene,363999,77360,0.69974,31.777796,Gold,5,26,31,,
28,Mubende,Kayonza,358630,84608,0.765285,31.729536,Gold,5,20,25,,
29,Mubende,Kayonza,358624,84564,0.764887,31.729482,Gold,28,48,76,,
30,Mubende,Kayonza,358859,84323,0.762708,31.731594,Gold,11,11,22,,
31,Mubende,Kayonza,358495,84089,0.76059,31.728324,Gold,15,20,35,,
32,Mubende,Kayonza,358795,83455,0.754857,31.731021,Gold,33,52,85,,
33,Mubende,Kayonza,358659,84458,0.763929,31.729797,Gold,9,38,47,,
34,Mubende,Kayonza,358382,84004,0.759821,31.727309,Gold,14,15,29,,
35,Mubende,Kayonza,358744,83433,0.754658,31.730563,Gold,13,25,3,,
36,Mubende,Lubaali,358776,83707,0.757136,31.73085,Gold,17,51,68,,
37,Mubende,Lubaali,358757,83523,0.755472,31.73068,Gold,3,17,20,,
38,Mubende,Lubaali,358784,83598,0.75615,31.730922,Gold,3,65,67,,
39,Mubende,Lubaali,358773,83510,0.755354,31.730824,Gold,8,56,64,,
40,Mubende,Lubaali,358764,83644,0.756566,31.730742,Gold,4,39,43,,
41,Mubende,Lubaali,358740,83672,0.756819,31.730527,Gold,3,27,30,,
42,Mubende,Lubaali,358753,83675,0.756847,31.730643,Gold,0,36,36,,
43,Mubende,Kamusenene,363917,77172,0.698039,31.77706,Gold,2,15,17,,
44,Mubende,Kamusenene,363879,77045,0.69689,31.776719,Gold,7,19,26,,
45,Mubende,Kamusenene,363866,77001,0.696492,31.776602,Gold,4,17,21,,
46,Mubende,Kamusenene,363870,76821,0.694864,31.776638,Gold,3,15,18,,
47,Mubende,Lukwago,366149,14685,0.13283,31.797201,Gold,3,13,16,,
48,Mubende,Lukwago,366149,20012,0.181015,31.797198,Gold,14,27,41,,
49,Mubende,Lukwago,366148,40290,0.364435,31.797171,Gold,13,22,38,,
50,Mubende,Lukwago,366149,99870,0.903354,31.797055,Gold,14,17,31,,
51,Mubende,Kabadda,360603,73266,0.662701,31.747292,Gold,12,13,25,,
52,Mubende,Kabadda,360426,73262,0.662664,31.745701,Gold,16,28,44,,
53,Mubende,Kabadda,360647,67400,0.609642,31.7477,Gold,8,30,38,,
54,Mubende,Kayonza,358780,83499,0.755255,31.730886,Gold,9,41,50,,
55,Mubende,Kamusenene,363986,77253,0.698772,31.77768,Gold,17,46,63,,
56,Mubende,Kamusenene,364002,77255,0.69879,31.777823,Gold,3,37,40,,
57,Amudat,Lyantum,697383,159989,1.446769,34.774108,Gold,,,,,
58,Amudat,Remtum,697568,159804,1.445095,34.775769,Gold,,,,,
59,Amudat,Cheptakol,698774,160377,1.450268,34.786609,Gold,,,,,
60,Amudat,Cheptakol,699023,160287,1.449452,34.788846,Gold,,,,,
61,Amudat,Chepkararat,700310,161412,1.459616,34.800418,Gold,,,,,
62,Amudat,R. Karita,699691,161167,1.457405,34.794854,Gold,,,,,
63,Nakapiripirit,Moruita,694906,212845,1.924762,34.752279,Gold,,,,,
64,Nakapiripirit,Acherer,689372,222893,2.015679,34.702633,Gold,,,,,
65,Nakapiripirit,Acherer,689078,221906,2.006756,34.699981,Gold,,,,,
66,Nakapiripirit,R. Nakoit,686553,231058,2.089544,34.677372,Gold,,,,,
67,Namayingo,Nakundi,590214,23474,0.212355,33.810709,Gold,,,,,
68,Bugiri,Budde,591676,43435,0.392929,33.82386,Gold,,,,,
69,Bugiri,Budde,590778,41895,0.378998,33.815789,Gold,,,,,
70,Bugiri,Budde,590553,41934,0.379351,33.813767,Gold,,,,,
71,Bugiri,Kayango,595129,63821,0.577344,33.854911,Gold,,,,,
72,Kalungu,Lwera Swamp,374274,-16492,-0.149179,31.870202,Sand,,,,,
73,Kalungu,Lwera Swamp,374274,-16492,-0.149179,31.870202,Sand,,,,,
74,Masaka,Diimu,365812,-72738,-0.657936,31.794097,Sand,,,,,
75,Buhweju,Bulere,202904,-48191,-0.435523,30.330969,Kaolin,,,,,
76,Buhweju,Bulere,203128,-47919,-0.433065,30.332981,Kaolin,,,,30,10T/day
77,Buhweju,Bulere,202954,-48307,-0.436571,30.331417,Kaolin,,,,30,10T/day
78,Buhweju,Katenga,208622,-33694,-0.30452,30.38234,Gold,,,,,
79,Buhweju,R. Bihange,204971,-30616,-0.276694,30.34957,Gold,,,,,
80,Buhweju,Kitenga,208568,-33922,-0.30658,30.381855,Gold,,,,,
81,Buhweju,Katenga,208428,-33664,-0.304248,30.380598,Gold,,,,1500,50g/months
82,Buhweju,Katenga,208580,-33449,-0.302306,30.381963,Gold,,,,1500,50g/months
83,Buhweju,Nyakishana,207363,-34675,-0.313383,30.371035,Gold,,,,1500,50g/months
84,Buhweju,Nyakaziba,202078,-28299,-0.255749,30.323604,Gold,,,,1500,50g/months
85,Kisoro,Rushaga,133294,-124304,-1.122745,29.705705,Gold,,,,,
86,Kisoro,Musezero,130488,-124489,-1.124388,29.680523,Gold,,,,,
87,Kisoro,Musezero,130498,-124469,-1.124207,29.680613,Gold,,,,,
88,Kisoro,Kapata,131913,-125216,-1.130969,29.693303,Gold,,,,,
89,Kisoro,Kapata,131854,-125178,-1.130625,29.692774,Gold,,,,,
90,Kisoro,Kashasha,129225,-123224,-1.112949,29.669203,Gold,,,,,
91,Kisoro,Kashasha,129204,-123245,-1.113139,29.669014,Gold,,,,,
